SEASON,NAME,AGE,EARNINGS,CUP,EVNTS,RNDS,CUTS,TOP10,WINS,SCORE,DDIS,DACC,GIR,PUTTS,SAND,BIRDS
2022,Doug Ghim,27,"$1,347,458",385,29,84,15,1,0,70.7,295.6,64.2,66.5,1.796,50.5,3.286
2022,Aaron Rai,28,"$1,346,601",519,28,89,18,2,0,70.2,295.4,67.4,68.8,1.795,48.5,3.506
2022,Paul Casey,46,"$1,740,282",310,7,0,6,1,0,0,0,0,0,0,0,0
2022,Adam Schenk,31,"$1,339,523",542,32,90,14,3,0,71,304,56.3,64.4,1.782,39.4,3.422
2023,Aaron Baddeley,42,"$1,337,851",458,26,80,16,3,0,69.8,284.5,57.2,65.8,1.725,46.1,3.763
2023,Maverick McNealy,28,"$1,328,512",414,21,63,13,3,0,70,299.9,54.7,63.1,1.732,57.3,3.619
2022,Patrick Rodgers,31,"$1,327,382",517,27,85,16,3,0,70.3,309.3,51,68.2,1.781,47.7,3.365
2022,Brooks Koepka,33,"$1,317,085",412,16,46,9,2,0,70.8,311.9,53.4,63.2,1.763,50,3.826
2022,Daniel Berger,30,"$1,769,539",529,12,0,9,3,0,0,0,0,0,0,0,0
2022,C.T. Pan,32,"$1,313,259",473,24,82,16,2,0,70.5,296.7,62.3,66.5,1.762,59.7,3.671
2022,Hayden Buckley,27,"$1,303,036",474,30,91,16,2,0,70.4,300.1,67.5,69.5,1.79,48.8,3.571
2023,Troy Merritt,38,"$1,302,362",273,34,92,14,3,0,70.7,293.4,65.8,65.3,1.776,49.6,3.761
2022,Stephan Jaeger,34,"$1,289,503",518,31,85,14,2,0,70.4,293,57,63.5,1.735,51,3.741
2022,Peter Malnati,36,"$1,288,197",501,31,103,20,2,0,70.4,297.1,55.2,64.3,1.727,50,3.932
2022,Chad Ramey,31,"$1,281,224",568,28,73,11,2,1,70.7,288.9,64.9,65.9,1.755,44,3.836
2023,C.T. Pan,32,"$1,272,421",308,19,54,9,3,0,69.7,296.6,61.4,70.5,1.782,50.8,3.667
2022,David Lipsky,35,"$1,269,468",543,29,88,16,3,0,70.3,295.2,65.2,68.1,1.759,49.6,3.648
2022,Danny Lee,33,"$1,265,934",490,22,52,7,3,0,70.9,297.8,55.4,61.9,1.725,49.1,3.904
2023,Martin Laird,40,"$1,258,725",391,31,88,15,1,0,70.4,292.4,65.8,69.6,1.778,48.5,3.761
2022,Sam Ryder,33,"$1,257,416",439,30,88,15,3,0,70.5,294,59.7,65.7,1.746,42.1,3.739
2023,Ryan Palmer,47,"$1,244,899",193,29,79,12,3,0,70.2,301.2,61.9,67.9,1.758,49.2,3.949
2023,Ryan Moore,40,"$1,234,755",201,30,83,12,3,0,69.8,287,70.1,69.4,1.751,56.6,3.831
2023,Kevin Yu,24,"$1,232,379",445,23,71,12,3,0,69.6,311.3,61.5,72.6,1.77,41,4.211
2023,Camilo Villegas,41,"$1,951,764",14,13,0,6,2,1,0,0,0,0,0,0,0
2022,Adam Svensson,29,"$1,209,000",511,31,100,20,3,0,70.2,293.4,64.1,67.4,1.745,47.7,4.04
2022,Chesson Hadley,36,"$1,195,172",404,29,80,13,4,0,70.7,301.8,55.4,65.3,1.764,51.6,3.725
2022,Dylan Frittelli,33,"$1,194,625",554,28,93,18,1,0,70.7,304.1,50.5,64.6,1.767,46.2,3.559
2023,Lucas Herbert,27,"$1,192,273",199,20,62,13,1,0,70.6,304.5,55.8,62.1,1.724,43,3.871
2022,James Hahn,42,"$1,183,254",418,26,71,12,3,0,70.3,302.8,61.5,65.8,1.772,52.7,3.394
2022,Mark Hubbard,34,"$1,179,782",508,22,68,15,2,0,69.5,288.3,62.8,68.3,1.742,53.8,3.75
2023,Andrew Novak,28,"$1,173,140",424,30,95,19,2,0,70.1,299.7,58.4,67.1,1.783,49.7,3.695
2022,Ryan Palmer,47,"$1,167,801",545,22,67,12,1,0,70.6,305.6,56.8,66.7,1.794,49.5,3.522
2023,Carl Yuan,26,"$1,167,050",199,30,84,14,2,0,70.5,306.8,54.3,67.3,1.753,55.9,4.024
2023,Patton Kizzire,37,"$1,161,610",303,33,100,18,2,0,70.2,300.8,57.9,66.7,1.75,51.4,3.99
2023,Henrik Norlander,36,"$1,158,809",229,32,91,15,1,0,70.5,292.3,62.1,69.1,1.801,51.2,3.462
2022,Michael Thompson,38,"$1,148,272",487,26,84,17,2,0,70.3,287.9,65.9,64.1,1.737,61.7,3.762
2022,Robert Streb,36,"$1,120,076",413,30,83,13,3,0,70.4,300.4,59.6,64.3,1.777,48.4,3.313
2023,Jimmy Walker,44,"$1,111,220",294,31,86,12,0,0,70.9,307.2,52.3,64.1,1.786,48.6,3.558
2023,Cameron Champ,28,"$1,103,852",219,29,78,12,3,0,70.6,317.9,59.9,69.3,1.783,40.8,3.833
2023,Zecheng Dou,26,"$1,099,906",299,33,97,18,1,0,70.5,302.6,54.5,67.6,1.765,36.2,3.918
2022,Jhonattan Vegas,39,"$1,097,633",428,22,77,16,1,0,70.2,315.7,55.4,68.1,1.766,48.2,3.688
2022,Martin Laird,40,"$1,094,313",442,22,66,14,1,0,70.3,298,68.2,68.8,1.797,50,3.439
2022,Carlos Ortiz,32,"$1,087,463",414,20,61,10,1,0,70.8,303.4,56.9,63.4,1.728,41.7,3.77
